epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.805,3.45187,3.66502,3.89544,0.04505,0.15889,0.02298,0.00553,3.15051,3.45749,3.37784,0.00333194,0.00333194,0.00333194
2,1581.14,2.71478,2.95407,3.02852,0.24507,0.18067,0.13102,0.04543,2.50265,2.80718,2.67839,0.00659929,0.00659929,0.00659929
3,2329.08,2.29141,2.61296,2.56388,0.3567,0.26364,0.22928,0.08539,2.30495,2.46273,2.45018,0.00980064,0.00980064,0.00980064
4,2966.68,2.10621,2.41353,2.33656,0.42718,0.30948,0.29332,0.11794,2.14664,2.28377,2.28999,0.009703,0.009703,0.009703
5,3561.56,1.98047,2.25579,2.21219,0.49204,0.33644,0.34902,0.15329,2.06264,2.13429,2.18126,0.009604,0.009604,0.009604
6,4157.14,1.9188,2.1435,2.14121,0.51892,0.37141,0.38653,0.17495,1.99951,2.02067,2.09966,0.009505,0.009505,0.009505
7,4751.95,1.86784,2.06817,2.08006,0.52843,0.36943,0.396,0.18407,1.9674,1.95957,2.05756,0.009406,0.009406,0.009406
8,5346.67,1.83505,2.00775,2.05165,0.55071,0.40251,0.42297,0.19686,1.94362,1.92139,2.03792,0.009307,0.009307,0.009307
9,5940.99,1.79741,1.9475,2.01389,0.57011,0.40749,0.43451,0.20608,1.93517,1.8488,2.01079,0.009208,0.009208,0.009208
10,6536.33,1.76709,1.90259,1.98077,0.59785,0.41693,0.45708,0.2242,1.87967,1.78485,1.97607,0.009109,0.009109,0.009109
11,7130.98,1.75258,1.86374,1.96439,0.60019,0.41983,0.46538,0.2287,1.86629,1.76916,1.9665,0.00901,0.00901,0.00901
12,7725.21,1.72756,1.82778,1.94656,0.60986,0.4245,0.47249,0.23647,1.84298,1.72993,1.92711,0.008911,0.008911,0.008911
13,8319.7,1.71533,1.79933,1.93024,0.60423,0.44265,0.48666,0.24538,1.81973,1.68904,1.92004,0.008812,0.008812,0.008812
14,8914.68,1.69163,1.76295,1.90419,0.63184,0.44285,0.49484,0.24968,1.81322,1.66527,1.91842,0.008713,0.008713,0.008713
15,9507.82,1.6817,1.74722,1.90059,0.64183,0.44368,0.50096,0.25344,1.80422,1.63856,1.89595,0.008614,0.008614,0.008614
16,10101.6,1.66855,1.72954,1.88523,0.62929,0.458,0.50561,0.25975,1.78193,1.61953,1.8658,0.008515,0.008515,0.008515
17,10696.3,1.65321,1.69774,1.86715,0.64296,0.45675,0.50905,0.26441,1.77885,1.60719,1.8663,0.008416,0.008416,0.008416
18,11290.6,1.65062,1.68289,1.86233,0.63728,0.46204,0.51717,0.26847,1.77416,1.5871,1.85969,0.008317,0.008317,0.008317
19,11885.4,1.63306,1.66128,1.84767,0.64408,0.46583,0.52229,0.27509,1.7455,1.55733,1.84981,0.008218,0.008218,0.008218
20,12479.1,1.62592,1.64518,1.83848,0.6592,0.46495,0.52511,0.27291,1.75778,1.54506,1.83789,0.008119,0.008119,0.008119
21,13072.8,1.60926,1.61957,1.82836,0.64236,0.47092,0.52749,0.27858,1.74921,1.53308,1.84113,0.00802,0.00802,0.00802
22,13666.4,1.60803,1.609,1.82064,0.67363,0.47138,0.53974,0.28496,1.73644,1.50722,1.8145,0.007921,0.007921,0.007921
23,14261,1.59326,1.60341,1.80705,0.67419,0.4722,0.54064,0.28816,1.72081,1.51065,1.80572,0.007822,0.007822,0.007822
24,14855.3,1.58597,1.58955,1.8019,0.66941,0.48227,0.54361,0.29101,1.72277,1.49495,1.80498,0.007723,0.007723,0.007723
25,15449.8,1.58057,1.57177,1.80191,0.67231,0.47856,0.54562,0.29056,1.7035,1.48578,1.79501,0.007624,0.007624,0.007624
26,16043.9,1.57748,1.56412,1.79189,0.66755,0.48293,0.55018,0.29446,1.69803,1.47555,1.77977,0.007525,0.007525,0.007525
27,16637.4,1.57093,1.55089,1.79023,0.66522,0.48882,0.555,0.29887,1.69994,1.46668,1.78199,0.007426,0.007426,0.007426
28,17231.8,1.56088,1.54968,1.78155,0.67002,0.49004,0.55774,0.30324,1.68389,1.45581,1.77025,0.007327,0.007327,0.007327
29,17825.7,1.55437,1.52432,1.7724,0.68092,0.49481,0.56389,0.30391,1.6822,1.4322,1.77003,0.007228,0.007228,0.007228
30,18419.3,1.55524,1.51764,1.77625,0.68658,0.49357,0.56296,0.30601,1.67368,1.42754,1.77115,0.007129,0.007129,0.007129
31,19013.4,1.54428,1.51368,1.76339,0.68449,0.49367,0.56569,0.30761,1.66893,1.41616,1.7581,0.00703,0.00703,0.00703
32,19607.2,1.53668,1.5014,1.7586,0.68823,0.49782,0.57119,0.31205,1.67588,1.40239,1.75648,0.006931,0.006931,0.006931
33,20201.5,1.53508,1.48913,1.75343,0.67452,0.51348,0.57618,0.3165,1.66655,1.39387,1.74974,0.006832,0.006832,0.006832
34,20795.3,1.5289,1.48805,1.75693,0.67616,0.51451,0.57738,0.31562,1.66693,1.39814,1.74854,0.006733,0.006733,0.006733
35,21388.3,1.52984,1.4864,1.75247,0.68101,0.50799,0.57523,0.31626,1.65697,1.38999,1.74075,0.006634,0.006634,0.006634
36,21982.5,1.52245,1.46887,1.74413,0.68725,0.51732,0.58416,0.32056,1.65016,1.37087,1.73184,0.006535,0.006535,0.006535
37,22578.1,1.51673,1.46581,1.73561,0.69967,0.51271,0.58597,0.32154,1.6532,1.36023,1.7361,0.006436,0.006436,0.006436
38,23172.3,1.50849,1.45975,1.73286,0.69616,0.51504,0.58774,0.3244,1.64009,1.36253,1.72436,0.006337,0.006337,0.006337
39,23767.2,1.50892,1.4595,1.73087,0.69284,0.51379,0.5876,0.32271,1.64611,1.35442,1.72306,0.006238,0.006238,0.006238
40,24361.6,1.4994,1.44768,1.71653,0.6861,0.52043,0.58959,0.32677,1.63336,1.34859,1.72104,0.006139,0.006139,0.006139
41,24956.2,1.49739,1.44332,1.72155,0.69518,0.51805,0.5926,0.32904,1.62895,1.34554,1.7143,0.00604,0.00604,0.00604
42,25552,1.49676,1.43231,1.7146,0.70132,0.52091,0.59261,0.32943,1.62677,1.33842,1.70656,0.005941,0.005941,0.005941
43,26147.5,1.49605,1.42342,1.71241,0.70137,0.51877,0.59253,0.32863,1.6214,1.33117,1.70463,0.005842,0.005842,0.005842
44,26742.8,1.49326,1.42685,1.71102,0.69933,0.5225,0.59437,0.33072,1.61963,1.32766,1.70107,0.005743,0.005743,0.005743
45,27338.9,1.48432,1.40772,1.70325,0.70654,0.52337,0.59737,0.33374,1.61739,1.31762,1.70114,0.005644,0.005644,0.005644
